Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/4/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.3,81.6,166,358
1/6/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,79.6,182,309
1/9/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,81.5,203,364
1/12/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.5,101,249,437
15-01-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.4,80.3,313,557
18-01-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,80.1,212,357
21-01-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,100.4,274,488
24-01-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.7,95.8,227,481
29-01-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.2,69.5,353,642
2/3/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.3,68.7,219,441
2/6/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,70.9,190,387
2/9/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.4,76.1,153,279
2/12/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.6,67.8,57,163
15-02-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,67.7,104,218
18-02-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6,67.7,132,280
21-02-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.8,62.7,127,246
25-02-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,55.4,70,155
3/1/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,47.1,41,80
3/7/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.2,60.5,102,198
3/10/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,63.8,84,154
13-03-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,53.8,70,144
16-03-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,56.3,65,121
19-03-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,58.8,133,238
22-03-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,59.1,129,220
25-03-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,62.2,154,282
27-03-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,60.1,115,212
4/5/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.4,60.6,138,253
4/7/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,61.9,108,200
4/10/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.2,66.6,93,168
13-04-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,63.6,52,96
16-04-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.2,60.9,40,69
19-04-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,65.1,56,103
